,,,,,,,
index,size(gb),subsize(gb),flyname,type,datasetname,dryad_datasetname,doi
1,92,,02_27072018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_01,,https://doi.org/10.5061/dryad.51c59zwfc
,,22.03,,lfp,,DrosSponSleep_SciAdvances2023_01_lfp_01,
,,21.01,,lfp,,DrosSponSleep_SciAdvances2023_01_lfp_02,
,,28.41,,video,,DrosSponSleep_SciAdvances2023_01_video_01,
,,26.44,,video,,DrosSponSleep_SciAdvances2023_01_video_02,
,,,,,,,
2,63,,03_14092018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_02,,https://doi.org/10.5061/dryad.zgmsbccjf
,,0.14,,lfp,,DrosSponSleep_SciAdvances2023_02_lfp_01,
,,24.7,,lfp,,DrosSponSleep_SciAdvances2023_02_lfp_02,
,,23.61,,video,,DrosSponSleep_SciAdvances2023_02_video_01,
,,18.4,,video,,DrosSponSleep_SciAdvances2023_02_video_02,
,,,,,,,
3,65,,04_17092018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_03,,https://doi.org/10.5061/dryad.2rbnzs7v2
,,12.75,,lfp,,DrosSponSleep_SciAdvances2023_03_lfp_01,
,,12.86,,lfp,,DrosSponSleep_SciAdvances2023_03_lfp_02,
,,21.34,,video,,DrosSponSleep_SciAdvances2023_03_video_01,
,,21.32,,video,,DrosSponSleep_SciAdvances2023_03_video_02,
,,,,,,,
4,67,,06_30102018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_04,,https://doi.org/10.5061/dryad.79cnp5j2h
,,23.55,,lfp,,DrosSponSleep_SciAdvances2023_04_lfp_01,
,,12.28,,lfp,,DrosSponSleep_SciAdvances2023_04_lfp_02,
,,18.05,,video,,DrosSponSleep_SciAdvances2023_04_video_01,
,,17.4,,video,,DrosSponSleep_SciAdvances2023_04_video_02,
,,,,,,,
5,67,,07_01112018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_05,,https://doi.org/10.5061/dryad.0rxwdbs69
,,21.95,,lfp,,DrosSponSleep_SciAdvances2023_05_lfp_01,
,,13.07,,lfp,,DrosSponSleep_SciAdvances2023_05_lfp_02,
,,21.19,,video,,DrosSponSleep_SciAdvances2023_05_video_01,
,,14.52,,video,,DrosSponSleep_SciAdvances2023_05_video_02,
,,,,,,,
6,76,,08_03112018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_06,,https://doi.org/10.5061/dryad.bvq83bkgg
,,22.89,,lfp,,DrosSponSleep_SciAdvances2023_06_lfp_01,
,,14.66,,lfp,,DrosSponSleep_SciAdvances2023_06_lfp_02,
,,22.29,,video,,DrosSponSleep_SciAdvances2023_06_video_01,
,,20.02,,video,,DrosSponSleep_SciAdvances2023_06_video_02,
,,,,,,,
7,83,,09_13112018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_07,,https://doi.org/10.5061/dryad.0gb5mkm77
,,21.96,,lfp,,DrosSponSleep_SciAdvances2023_07_lfp_01,
,,14.17,,lfp,,DrosSponSleep_SciAdvances2023_07_lfp_02,
,,24.37,,video,,DrosSponSleep_SciAdvances2023_07_video_01,
,,27.78,,video,,DrosSponSleep_SciAdvances2023_07_video_02,
,,,,,,,
8,70,,12_28112018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_08,,https://doi.org/10.5061/dryad.jm63xsjhq
,,18.66,,lfp,,DrosSponSleep_SciAdvances2023_08_lfp_01,
,,17.74,,lfp,,DrosSponSleep_SciAdvances2023_08_lfp_02,
,,19.4,,video,,DrosSponSleep_SciAdvances2023_08_video_01,
,,18.54,,video,,DrosSponSleep_SciAdvances2023_08_video_02,
,,,,,,,
9,72,,14_11122018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_09,,https://doi.org/10.5061/dryad.9kd51c5qh
,,18.35,,lfp,,DrosSponSleep_SciAdvances2023_09_lfp_01,
,,18.43,,lfp,,DrosSponSleep_SciAdvances2023_09_lfp_02,
,,19.73,,video,,DrosSponSleep_SciAdvances2023_09_video_01,
,,19.31,,video,,DrosSponSleep_SciAdvances2023_09_video_02,
,,,,,,,
10,77,,15_13122018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_10,,https://doi.org/10.5061/dryad.2jm63xsw8
,,20.90,,lfp,,DrosSponSleep_SciAdvances2023_10_lfp_01,
,,16.14,,lfp,,DrosSponSleep_SciAdvances2023_10_lfp_02,
,,21.31,,video,,DrosSponSleep_SciAdvances2023_10_video_01,
,,23.02,,video,,DrosSponSleep_SciAdvances2023_10_video_02,
,,,,,,,
11,50,,16_18122018_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_11,,https://doi.org/10.5061/dryad.51c59zwff
,,12.80,,lfp,,DrosSponSleep_SciAdvances2023_11_lfp_01,
,,11.72,,lfp,,DrosSponSleep_SciAdvances2023_11_lfp_02,
,,13.11,,video,,DrosSponSleep_SciAdvances2023_11_video_01,
,,15.47,,video,,DrosSponSleep_SciAdvances2023_11_video_02,
,,,,,,,
12,85,,17_10012019_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_12,,https://doi.org/10.5061/dryad.c2fqz61g2
,,18.71,,lfp,,DrosSponSleep_SciAdvances2023_12_lfp_01,
,,17.39,,lfp,,DrosSponSleep_SciAdvances2023_12_lfp_02,
,,25.21,,video,,DrosSponSleep_SciAdvances2023_12_video_01,
